Code,Description,Sell,Matrix Master,Inventoried,Inventory,Quantity Total,Quantity Reserved,Quantity in Warehouses,Quantity Ordered For Customers,Quantity Ordered For Stock
923-0431 - KGB,"923-0431 Apple Left Flex Cable I/O for MacBook Air 11"" Mid 2013  Early 2014  Early 2015 - NEW",29,unchecked,checked,1,1,0,0,0,0
923-0439 - KGB,"923-0439 Apple I/O Board assembly for MacBook Air 13"" Mid 2013 - 2017 - NEW",79,unchecked,checked,1,1,0,0,0,0
S8785LL/A,Accidental Damage  Macbook Air,328,unchecked,unchecked,0,0,0,0,0,1
V193W ,"Acer V193W EJb LCD - TFT - 19"" widescreen ",125,unchecked,checked,0,0,0,0,0,0
V223W ,"Acer V223W EJbd - LCD - TFT 22"" widescreen ",175,unchecked,checked,0,0,0,0,0,0
POWER-BANK,Added Power 2600mAh USB Portable Power Bank Charger,20,unchecked,checked,0,0,0,0,0,0
661-7015,ADPTR POWER 60W MAGSAFE 2,0,unchecked,unchecked,0,0,0,0,0,0
99MO076012,Airfoil Glass iPhone 7 Plus/8 Plus ,39.95,unchecked,checked,3,3,0,0,0,0
99MO076011,Airfoil Glass iPhone 7/8 ,34.95,unchecked,checked,12,12,0,0,0,0
99MO076020,AirFoil Glass Screen Protector for iPhone XR (6.1”),24.95,unchecked,checked,0,0,0,0,0,0
99MO076021,AirFoil Glass Screen Protector for iPhone XS Max (6.5”),34.95,unchecked,checked,3,3,0,0,0,0
99MO076014,AirFoil Glass Screen Protector for iPhone XS/X,24.95,unchecked,checked,3,3,0,0,0,0
661-10472,AirPod (2nd gen)  Left,62.1,unchecked,unchecked,4,4,0,0,0,0
661-11909,AirPod (2nd gen)  Left,0,unchecked,unchecked,2,2,0,0,0,0
661-10473,Airpod (2nd Gen)  Right,69,unchecked,unchecked,1,1,0,0,0,0
661-11910,AirPod (2nd gen)  Right,0,unchecked,unchecked,1,1,0,0,0,0
661-12339,AIRPODS 2ND GENERATION CASE,69,unchecked,unchecked,0,0,0,0,0,0
661-05642,AirPods Case with Battery  Replacement  US,0,unchecked,unchecked,2,2,0,0,0,0
MWP22AM/A,AirPods Pro with Wireless Case,249,unchecked,checked,1,1,0,0,0,0
661-14474,AirPods Pro  Left  CI-AR,89,unchecked,unchecked,2,2,0,0,0,0
661-14475,AirPods Pro  Right  CI-AR,89,unchecked,unchecked,6,6,0,0,0,0
661-05639,Airpods  Left,0,unchecked,unchecked,2,2,0,0,0,0
661-05640,AirPods  Right,69,unchecked,unchecked,4,4,0,0,0,0
661-5867 - 3rd Party,Airport Card Bluetooth Assembly,89,unchecked,unchecked,0,0,0,0,0,0
661-4766 - 3rd Party,Airport Extreme Card,109,unchecked,unchecked,0,0,0,0,0,0
661-5687 - 3rd Party,Airport/Bluetooth Board,59,unchecked,unchecked,0,0,0,0,0,0
922-8770 - 3rd Party,AirPort/Bluetooth Card Flex Cable,19,unchecked,unchecked,0,0,0,0,0,0
922-9750 - 3rd Party,Airport/Bluetooth Flex Cable,35,unchecked,unchecked,0,0,0,0,0,0
922-9780 - 3rd Party,Airpot Card Flex Cable,29,unchecked,unchecked,0,0,0,0,0,0
I2269VW,"AOC Value I2269VW - LED monitor - 21.5"" - 1920 x 1080 Full HD (1080p)",169,unchecked,checked,2,2,0,0,0,0
661-00199 - 3rd Party,"Apple 1TB SSD (Solid State Drive) Flash Storage for iMac 27"" Late 2014 - Mid 2015",649,unchecked,unchecked,0,0,0,0,0,0
661-7287,"Apple 256GB SSD (Solid State Drive) for MacBook Pro 13"" Unibody Late 2012 and Early 2013",99,unchecked,unchecked,0,0,0,0,0,0
MD098ZM/A,APPLE 30-PIN DIGITAL AV ADAPTER,19.99,unchecked,checked,2,2,0,0,0,0
MD506LL/A,Apple 85W MagSafe 2 Adapter ,79,unchecked,checked,4,6,2,0,0,1
MC556LL/B,Apple 85w MagSafe Adapter ,79,unchecked,checked,2,2,0,0,0,0
MV7N2AM/A,Apple AirPods with Charging Case - 2nd Generation - true wireless earphones with mic - ear-bud - Bluetooth - for iPad/iPhone/iPod/TV/Watch,159,unchecked,checked,1,1,0,0,0,0
922-8203 - 3rd Party,"Apple Camera Board for iMac 20"" Mid 2007",29,unchecked,unchecked,1,1,0,0,0,0
cto,Apple CTO,0,unchecked,unchecked,1,1,0,0,0,0
S1586LL/A,"Apple Depot Labor Charge  MBP15""",100,unchecked,unchecked,6,6,0,0,0,2
ACSH04,Apple Depot Shipping,19.95,unchecked,unchecked,83,83,0,0,0,29
661-6504 - 3rd Party,"Apple Display Clamshell Glossy for MacBook Pro 15"" Mid 2012",300,unchecked,unchecked,0,0,0,0,0,0
922-9848 ,"Apple DisplayPort Cable for iMac 27"" Mid 2011 593-1352",69,unchecked,unchecked,0,0,0,0,0,0
661-4946 - 3rd Party,"Apple Fan for MacBook Pro 13"" Mid 2009 & MacBook 13"" Aluminum Late 2008",59,unchecked,unchecked,0,0,0,0,0,0
S1580LL/A,"Apple Flat Rate Repair Charge  PBG4/MBP15""",210,unchecked,unchecked,0,0,0,0,0,0
661-7016 - 3rd Party,"Apple Housing Top Case with Battery for MacBook Pro 13"" Retina Late 2012  Early 2013",329,unchecked,checked,1,1,0,0,0,0
923-0440 - KGB,"Apple I/O Flex Cable for MacBook Air 13"" Mid 2013 - 2017 - NEW",59,unchecked,checked,3,3,0,0,0,0
Z145000M4,Apple iMac (21.5-inch  2020) with 2.3GHz 2-Core i5 / 16GB RAM / 1TB Fusion / Intel Iris Plus 640,"1,299.00",unchecked,checked,0,0,0,0,0,0
MHK03LL/A,Apple iMac (21.5-inch  2020) with 2.3GHz 2-Core i5 / 8GB RAM / 256GB Storage / Intel Iris Plus 640,"1,099.00",unchecked,checked,0,0,0,0,0,1
Z0VY0003M,Apple iMac (Retina 4K  21.5-inch  2020) with 3.0GHz 6-Core i5 / 16GB RAM / 1TB Fusion / Radeon Pro 560X (4GB GDDR5) CTO 21.5IN IMAC 4K 3.0GHZ I5 16GB 1TB FUSION 560X,"1,699.00",unchecked,checked,1,1,0,0,0,0
MHK33LL/A,Apple iMac (Retina 4K  21.5-inch  2020) with 3.0GHz 6-Core i5 / 8GB RAM / 256GB Storage / Radeon Pro 560X (4GB GDDR5),"1,499.00",unchecked,checked,0,0,0,0,0,0
